"Reference","Value","Exclude from BOM","Manufacturer_Name","Manufacturer_Part_Number","Mouser Part Number","Mouser Price/Stock","Qty","Mouser Price QTY1","Mouser Price QTY10"
"C1,C3,C19","100n","","YAGEO","AC0805JRX7R9BB104","603-AC0805JX7R9BB104","https://www.mouser.com/ProductDetail/YAGEO/AC0805JRX7R9BB104?qs=Znm5pLBrcAKKHbaCmv3b8Q%3D%3D","3","0.10","0.065"
"C2","22u","","Murata Electronics","GRT21BR61C226ME13L","81-GRT21BR61C226ME3L","https://www.mouser.com/ProductDetail/Murata-Electronics/GRT21BR61C226ME13L?qs=drgMNd%252BkGPOXePTBixOAtw%3D%3D","1","0.39","0.196"
"C7","4n7","","KYOCERA AVX","08055C472K4T4A","581-08055C472K4T4A","https://www.mouser.com/ProductDetail/KYOCERA-AVX/08055C472K4T4A?qs=ykEKLGTiBcx6ErrkugvmMg%3D%3D","1","0.10","0.058"
"C8","10u","","Murata Electronics","GRT21BC71E106KE13L","81-GRT21BC71E106KE13","https://www.mouser.com/ProductDetail/Murata-Electronics/GRT21BC71E106KE13L?qs=rrS6PyfT74dm3CAfGBwgnw%3D%3D","1","0.35","0.199"
"C14,C16,C21","4u7","","Samsung Electro-Mechanics","CL32Y475MCIVPNE","187-CL32Y475MCIVPNE","https://www.mouser.com/ProductDetail/Samsung-Electro-Mechanics/CL32Y475MCIVPNE?qs=Znm5pLBrcAJ2Wm3glbzndQ%3D%3D","3","0.68","0.475"
"C15","220n","","KYOCERA AVX","08053C224K4T4A","581-08053C224K4T4A","https://www.mouser.com/ProductDetail/KYOCERA-AVX/08053C224K4T4A?qs=UouJx2JcIEVHFdeF639OkQ%3D%3D","1","0.11","0.078"
"C17,C22","1u","","Samsung Electro-Mechanics","CL21B105MBFNNNE","187-CL21B105MBFNNNE","https://www.mouser.com/ProductDetail/Samsung-Electro-Mechanics/CL21B105MBFNNNE?qs=Znm5pLBrcAIRYa0zX3s5Qw%3D%3D","2","0.10","0.027"
"C18,C20","100u","","Samsung Electro-Mechanics","CL21A107MQYNNWE","187-CL21A107MQYNNWE","https://www.mouser.com/ProductDetail/Samsung-Electro-Mechanics/CL21A107MQYNNWE?qs=81r%252BiQLm7BSNi6fWCnDBNQ%3D%3D","2","0.87","0.55"
"D1,D3","D_Schottky_Small","","KYOCERA AVX","SD0805S020S1R0","581-SD0805S020S1R0","https://www.mouser.com/ProductDetail/KYOCERA-AVX/SD0805S020S1R0?qs=jCA%252BPfw4LHbpkAoSnwrdjw%3D%3D","2","0.32","0.252"
"D5,D6","GS1J_R1_00001","","PANJIT","GS1J_R1_00001","241-GS1J_R1_00001","https://www.mouser.com/ProductDetail/Panjit/GS1J_R1_00001?qs=sPbYRqrBIVmiablUMOUd0Q%3D%3D","2","0.21","0.148"
"F1","Polyfuse_Small","","Bel Fuse","0ZCM0001FF2G","530-0ZCM0001FF2G","https://www.mouser.com/ProductDetail/Bel-Fuse/0ZCM0001FF2G?qs=uwxL4vQweFOSr3rpPGffpA%3D%3D","1","0.19","0.16"
